Tournament,Stage,Match Type,Match Name,Map,Player Team,Player,Enemy Team,Enemy,Player Kills,Enemy Kills,Difference,Kill Type
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,Jinggg,Xi Lai Gaming,coconut,,,,Op Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,Jinggg,Xi Lai Gaming,Rarga,,,,Op Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Paper Rex,PatMen,Xi Lai Gaming,NoMan,2,4,-2,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Paper Rex,PatMen,Xi Lai Gaming,happywei,0,4,-4,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Paper Rex,PatMen,Xi Lai Gaming,Viva,1,0,1,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Paper Rex,PatMen,Xi Lai Gaming,coconut,2,3,-1,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Paper Rex,PatMen,Xi Lai Gaming,Rarga,1,2,-1,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Paper Rex,d4v41,Xi Lai Gaming,NoMan,4,4,0,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Paper Rex,d4v41,Xi Lai Gaming,happywei,2,2,0,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Paper Rex,d4v41,Xi Lai Gaming,Viva,1,1,0,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Paper Rex,d4v41,Xi Lai Gaming,coconut,2,2,0,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Paper Rex,d4v41,Xi Lai Gaming,Rarga,2,2,0,All Kills
